PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;C dur;60r;Chançon;V. Strobel;Ich lass di Leute seigen;;;C;"c1 | [cc1] ,,,,,d/ c [ad,,a1] ,,,,,c/ ,a | \
[,c,,,d1] {,,,,a}2 {,,a}/ ,,d | \
[,,a{,a}1] ,,d [,ad{a}] ',,c/ ,,d/4 ,a |"
2;C dur;60v;sans titre;;;;Conc_2608;3/4;"{,,,,a}1 [cc] e | {,,,a}1 [aa] c | {,,a}1 [,cd] {,a} | \
'[,a{a}3/2] ,,d/4 ,a ,,d1 || [,c,,,d3/2] a/ c1 | \
[,a,,,c3/2] ,c/ ,d1 |"
3;d moll;60v;sans titre;;La Cardinale;;Conc_1794;C;"[,aaa{,,,a}1] e [eda{,a}3/2] e | [c{a}/] e c a [,c,,,a3/2] a/ | \
[c,,,,e1] e/ c [a,,,a] ,c [a{a}1] | \
'[,c,,,a3/2] ,a/ [,aaaa1] {,,,a} ||"
4;d moll;61r;Sarabande;;;;;3/4;"[,aaa{,,,a}1] [,c,,,e2] | '[a,,,a3/2] ,c/4 a ,a1 | \
[ca{a}3/2] e/ [a,,,a1] | '[,c,,,a3/2] ,,a/4 ,,e ,a1 | \
[,aaaa1] [,c,,,e2] | '[a,,,a3/2] ,c/4 a ,a1 |"
5;d moll;61v;Chançon;Strobel;;;Conc_5099;3/4;"[eaaaa3/4] c/4 'a1 ,,,,,a/ ,c | [,aaa{,,,a}3/2] ,c/ ,,,,a a | \
,,,,,e/ ,,a c e ,,,,a a | '[,c,,,a1] ,,a2 | \
[aaaaa1] {d}/ a ,,,,,a a |"
6;d moll;62r;Chançon;;;;;3/4;"[,aaaa/] ,c a1 [,c,,,e] [,a,,a] | \
'[,,e,,a1] ,a [,,a{,a}] [,a{,,,a}] | \
'[,a,,,a3/2] ,,e/ ,a1 {,,,a} || \
[aaaaa1] {,,,a}/ ,f e1 {,,a}/ ,f |"
7;a moll;62v;Gigue Mons. Strobel;;;;Conc_5098;3;"e2 ,c1 | a1 ,c ,a | ',c2 ,,,,c1 | [,a,,(d1] [,,,,c)] ,,,,a | \
,,,,c1 ,,d ,,,,,a | ,,c1 ,,,,,a {b} | [,,a,,a2] ,c1 |"
8;a moll;63v;Allemande M. Strobel;;;;Conc_4010;C;"e1 | [eca1] z/4 ,c/4 a ,,a ,c3/4 ,,,d/4 ',a3/4 ,c/4 | \
,,,e/4 ,,d ,,,,,a1 (,c/4 ,a) ,,d3/4 ,,,e/4 \
[,,cc3/2] [,,d,c/4] |"
9;a moll;64v;Courante M. Strobel;;;;Conc_3711;3/4;"e/ | [eca3/2] e/ 'c3/4 a/4 | \
,c3/4 ,,a/4 ,,,d3/4 ,c/4 ,a3/4 ,,c/4 | \
,,,e3/4 ,,d/4 ,,,,,a1 ,,,,c | \
[,,de3/2] ,,d/ ',,c3/4 {a}/4 |"
10;a moll;65v;Sarabande M. Strobel;;;;Conc_5122;3/4;"[,,de3/2] ,,,c/ ,,,a3/4 ,a/4 | ,,,,c/ ,c {,,a} ,c ,a1 | \
[,cd3/2] e/ '[d,c1] | [e,a1] ,,,,,a2 | [e{a}/] ,,c 'c3/2 ,d/ |"
